t,h,lon,lat,v,gam,azm,alpha,beta,q
867.175867,208436.4559,54.8272057,6.116183409,20523.68169,-0.1797416033,74.30250227,24.42826815,-47.24158231,69.86419767
867.175867,208436.4559,54.8272057,6.116183409,20523.68169,-0.1797416033,74.30250227,24.42826815,-47.24158231,69.86419767
870.736169,208206.9916,55.01900942,6.169965126,20488.25662,-0.1804455062,74.19847081,24.38291762,-47.15783941,69.87792924
878.1794517,207724.9683,55.41867951,6.283221719,20414.04057,-0.1825873187,73.98009111,24.25053252,-47.00699627,69.94581107
887.4831454,207115.166,55.91572223,6.426337269,20320.8618,-0.186241361,73.70510002,24.15051964,-46.80470197,69.96454453
896.1535091,206538.9393,56.37638268,6.561258703,20233.01829,-0.1891525052,73.44529127,24.12908006,-46.62072713,69.90355543
901.869772,206156.2695,56.67872796,6.651029123,20174.43359,-0.190499579,73.2717352,24.10603865,-46.499666,69.86745928
903.3081948,206059.7368,56.75463715,6.673721219,20159.62027,-0.1907931528,73.22781268,24.0942198,-46.46446835,69.86401122
903.3081948,206059.7368,56.75463715,6.673721219,20159.62027,-0.1907931528,73.22781268,24.0942198,-46.46446835,69.86401122
906.8684968,205820.4978,56.94222417,6.730064655,20122.87758,-0.1915386106,73.11879012,24.04326069,-46.38341264,69.87741671
914.3117795,205317.9934,57.33301998,6.848671517,20045.93856,-0.1938373714,72.88994336,23.89852436,-46.2365728,69.94558387
923.6154732,204682.2644,57.81885948,6.998463342,19949.4102,-0.1977843925,72.60178565,23.78381884,-46.03934271,69.96418693
932.2858368,204081.5119,58.26896887,7.139594049,19858.46777,-0.2009141504,72.32949857,23.74875705,-45.86178868,69.90283852
938.0020998,203682.5974,58.56429944,7.23345101,19797.84635,-0.2023505633,72.14757116,23.71683934,-45.74657201,69.86623487
939.4405226,203581.9749,58.63843613,7.257170492,19782.52172,-0.2026630162,72.10152518,23.70296171,-45.71317041,69.86247243
939.4405226,203581.9749,58.63843613,7.257170492,19782.52172,-0.2026630162,72.10152518,23.70296171,-45.71317041,69.86247243
